clause#;word#;passage;link;verb;;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
426855;1458;Genesis 3:15;link;>#JT ;;605978;W;Conj;;605979;>JBH ;Objc;;605980;>#JT ;Pred;;605981;BJNK WBJN H>#H WBJN ZR<K WBJN ZR<H ;Cmpl;;;;;;;;;
426990;2091;Genesis 4:25;link;#T&;;606392;KJ ;Conj;;606393;#T&;Pred;;606394;LJ ;Adju;;606395;>LHJM ;Subj;;606396;ZR< >XR ;Objc;;606397;TXT HBL ;Cmpl;
429858;16305;Genesis 30:40;link;J#T&;;615127;W;Conj;;615128;J#T&;Pred;;615129;LW ;Supp;Adju;615130;<DRJM ;Objc;;615131;LBDW ;Adju;;;;;
429859;16312;Genesis 30:40;link;#TM ;;615132;W;Conj;;615133;L> ;Nega;;615134;#TM ;PreO;;615135;<L&Y>N LBN00;Cmpl;;;;;;;;;
431271;22953;Genesis 41:33;link;J#JTHW ;;619337;W;Conj;;619338;J#JTHW ;PreO;;619339;<L&>RY MYRJM00;Cmpl;;;;;;;;;;;;;
431997;26055;Genesis 46:4;link;J#JT ;;621481;W;Conj;;621482;JWSP ;Subj;;621483;J#JT ;Pred;;621484;JDW ;Objc;;621485;<L&<JNJK00;Cmpl;;;;;
432272;27557;Genesis 48:14;link;J#T ;;622341;W;Conj;;622342;J#T ;Pred;;622343;<L&R># >PRJM ;Cmpl;;;;;;;;;;;;;
432288;27640;Genesis 48:17;link;J#JT ;;622389;KJ&;Conj;;622390;J#JT ;Pred;;622391;>BJW ;Subj;;622392;JD&JMJNW ;Objc;;622393;<L&R># >PRJM ;Cmpl;;;;;
433299;32273;Exodus 7:23;link;#T ;;625310;W;Conj;;625311;L>&;Nega;;625312;#T ;Pred;;625313;LBW ;Objc;;625314;GM&LZ>T00;Cmpl;;;;;
433577;33797;Exodus 10:1;link;#TJ ;;626185;LM<N #TJ ;PreS;;626186;>TTJ >LH ;Objc;;626187;BQRBW00;Cmpl;;;;;;;;;;;;;
434859;40335;Exodus 21:22;link;J#JT ;;630137;K>#R ;Conj;;630138;J#JT ;Pred;;630139;<LJW ;Cmpl;;630140;B<L H>#H ;Subj;;;;;;;;;
434886;40461;Exodus 21:30;link;JW#T ;;630219;>M&;Conj;;630220;KPR ;Objc;;630221;JW#T ;Pred;;630222;<LJW ;Cmpl;;;;;;;;;
434888;40470;Exodus 21:30;link;JW#T ;;630227;>#R&;Rela;;630228;JW#T ;Pred;;630229;<LJW00;Cmpl;;;;;;;;;;;;;
435023;41062;Exodus 23:1;link;T#T ;;630646;>L&;Nega;;630647;T#T ;Pred;;630648;JDK ;Objc;;630649;<M&R#< ;Adju;;;;;;;;;
435119;41544;Exodus 23:31;link;#TJ ;;630954;W;Conj;;630955;#TJ ;Pred;;630956;>T&GBLK ;Objc;;630957;MJM&SWP W<D&JM PL#TJM WMMDBR <D&HNHR ;Cmpl;;;;;;;;;
436091;47357;Exodus 33:4;link;#TW ;;633939;W;Conj;;633940;L>&;Nega;;633941;#TW ;Pred;;;;;;;;;;;;;
441230;77765;Numbers 12:11;link;T#T ;;649690;>L&;Nega;;649691;N> ;Intj;;649692;T#T ;Pred;;649693;<LJNW ;Cmpl;;649694;XV>T ;Objc;;;;;
442679;85226;Numbers 24:1;link;J#T ;;654144;W;Conj;;654145;J#T ;Pred;;654146;>L&HMDBR ;Cmpl;;654147;PNJW00;Objc;;;;;;;;;
453061;142213;1_Samuel 2:8;link;J#T ;;685648;W;Conj;;685649;J#T ;Pred;;685650;<LJHM ;Cmpl;;685651;TBL00;Objc;;;;;;;;;
453412;143778;1_Samuel 4:20;link;#TH ;;686681;W;Conj;;686682;L>&;Nega;;686683;#TH ;Pred;;686684;LBH00;Objc;;;;;;;;;
458334;167572;2_Samuel 13:20;link;T#JTJ ;;701758;>L&;Nega;;701759;T#JTJ ;Pred;;701760;>T&LBK ;Objc;;701761;LDBR HZH ;Cmpl;;;;;;;;;
459396;172674;2_Samuel 19:29;link;T#T ;;704930;W;Conj;;704931;T#T ;Pred;;704932;>T&<BDK ;Objc;;704933;B>KLJ #LXNK ;Cmpl;;;;;;;;;
459730;174416;2_Samuel 22:12;link;J#T ;;705970;W;Conj;;705971;J#T ;Pred;;705972;X#K SBJBTJW ;Objc;;705973;SKWT ;Objc;;;;;;;;;
461753;185730;1_Kings 11:34;link;>#TNW ;;712012;KJ ;Conj;;712013;N#J> ;Objc;;712014;>#TNW ;PreO;;712015;KL JMJ XJJW ;Time;;712016;LM<N DWD <BDJ ;Adju;;;;;
467399;213507;Isaiah 5:6;link;>#JTHW ;;728508;W;Conj;;728509;>#JTHW ;PreO;;728510;BTH ;Objc;;;;;;;;;;;;;
468261;217446;Isaiah 15:9;link;>#JT ;;730981;KJ&;Conj;;730982;>#JT ;Pred;;730983;<L&DJMWN ;Cmpl;;730984;NWSPWT ;Objc;;;;;;;;;
468270;217486;Isaiah 16:3;link;#JTJ ;;731004;#JTJ ;Pred;;731005;KLJL ;Cmpl;;731006;YLK ;Objc;;731007;BTWK YHRJM ;Time;;;;;;;;;
468624;219069;Isaiah 22:7;link;#T ;;731937;W;Conj;;731938;HPR#JM ;Subj;;731939;#T ;Modi;;731940;#TW ;Pred;;731941;H#<RH00;Loca;Cmpl;;;;
468907;220287;Isaiah 26:1;link;J#JT ;;732668;J#W<H ;Objc;;732669;J#JT ;Pred;;732670;XWMWT WXL00;Objc;;;;;;;;;;;;;
472912;235607;Jeremiah 2:15;link;J#JTW ;;743287;W;Conj;;743288;J#JTW ;Pred;;743289;>RYW ;Objc;;743290;L#MH ;Cmpl;;;;;;;;;
473113;236412;Jeremiah 3:19;link;>#JTK ;;743832;>JK ;Ques;;743833;>#JTK ;PreO;;743834;BBNJM ;Cmpl;;;;;;;;;;;;;
474338;241508;Jeremiah 13:16;link;#JT ;;747153;W;Conj;;747154;#JT ;Pred;;747155;L<RPL00;Cmpl;;;;;;;;;;;;;
475172;245429;Jeremiah 22:6;link;>#JTK ;;749542;>M&;Conj;;749543;L> ;Nega;;749544;>#JTK ;PreO;;749545;MDBR ;Objc;;;;;;;;;
476276;251020;Jeremiah 31:21;link;#TJ ;;752685;#TJ ;Pred;;752686;LBK ;Objc;;752687;LMSLH ;Cmpl;;;;;;;;;;;;;
478330;261904;Jeremiah 50:3;link;J#JT ;;758682;HW>&;Subj;;758683;J#JT ;Pred;;758684;>T&>RYH ;Objc;;758685;L#MH ;Cmpl;;;;;;;;;
478695;263400;Jeremiah 51:39;link;>#JT ;;759631;>#JT ;Pred;;759632;>T&M#TJHM ;Objc;;;;;;;;;;;;;;;;;
484502;291179;Hosea 2:5;link;#TH ;;776265;W;Conj;;776266;#TH ;PreO;;776267;K>RY YJH ;Cmpl;;;;;;;;;;;;;
484787;292349;Hosea 6:11;link;#T ;;777061;#T ;Pred;;777062;QYJR ;Objc;;777063;LK ;Adju;;;;;;;;;;;;;
489186;310902;Psalms 3:7;link;#TW ;;789091;>#R ;Rela;;789092;SBJB ;Modi;;789093;#TW ;Pred;;789094;<LJ00;Cmpl;;;;;;;;;
489383;311517;Psalms 8:7;link;#TH ;;789541;KL ;Objc;;789542;#TH ;Pred;;789543;TXT&RGLJW00;Cmpl;;;;;;;;;;;;;
489451;311745;Psalms 9:21;link;#JTH ;;789699;#JTH ;Pred;;789701;MWRH ;Objc;;789702;LHM ;Adju;;;;;;;;;;;;;
489561;312104;Psalms 12:6;link;>#JT ;;789947;>#JT ;Pred;;789948;BJ#< ;Cmpl;;;;;;;;;;;;;;;;;
489578;312160;Psalms 13:3;link;>#JT ;;789982;<D&>NH ;Time;;789983;>#JT ;Pred;;789984;<YWT ;Objc;;789985;BNP#J ;Cmpl;;;;;;;;;
489707;312573;Psalms 17:11;link;J#JTW ;;790291;<JNJHM ;Objc;;790292;J#JTW ;Pred;;;;;;;;;;;;;;;;;
489764;312772;Psalms 18:12;link;J#T ;;790424;J#T ;Pred;;790425;X#K ;Objc;;790426;STRW ;Objc;;;;;;;;;;;;;
489952;313460;Psalms 21:4;link;T#JT ;;790907;T#JT ;Pred;;790908;LR>#W ;Cmpl;;790909;<VRT PZ00;Objc;;;;;;;;;;;;;
489957;313485;Psalms 21:7;link;T#JTHW ;;790922;KJ&;Conj;;790923;T#JTHW ;PreO;;790924;BRKWT ;Objc;;790925;L<D ;Time;;;;;;;;;
489963;313514;Psalms 21:10;link;T#JTMW ;;790943;T#JTMW ;PreO;;790944;KTNWR ># ;Cmpl;;790945;L<T PNJK ;Time;;;;;;;;;;;;;
489971;313546;Psalms 21:13;link;T#JTMW ;;790966;KJ ;Conj;;790967;T#JTMW ;PreO;;790968;#KM ;Objc;;;;;;;;;;;;;
